11	10	12	24
32	8	14	3
23	20	2	12
19	0	22	16
20	10	12	15
14	7	15	21
10	8	14	25
21	16	6	14
30	8	14	5
21	0	22	14
11	15	7	24
27	0	22	8
14	7	15	21
9	3	19	26
28	9	13	7
17	0	22	18
14	19	3	21
30	18	4	5
7	0	22	28
21	11	11	14
30	16	6	5
34	15	7	1
16	7	15	19
20	17	5	15
12	12	10	23
23	2	20	12
24	3	19	11
28	9	13	7
25	4	18	10
13	0	22	22
23	2	20	12
9	19	3	26
8	17	5	27
19	21	1	16
11	0	22	24
27	12	10	8
33	18	4	2
7	0	22	28
17	20	2	18
26	0	22	9
18	2	20	17
10	8	14	25
22	13	9	13
11	3	19	24
16	2	20	19
17	14	8	18
22	0	22	13
10	2	20	25
17	0	22	18
23	7	15	12
11	3	19	24
9	0	22	26
23	17	5	12
11	11	11	24
19	9	13	16
19	12	10	16
13	0	22	22
21	17	5	14
12	2	20	23
18	0	22	17
9	15	7	26
29	11	11	6
24	18	4	11
26	10	12	9
31	17	5	4
24	9	13	11
5	0	22	30
32	18	4	3
24	5	17	11
25	2	20	10
24	1	21	11
10	0	22	25
33	1	21	2
26	0	22	9
18	3	19	17
28	0	22	7
17	21	1	18
29	9	13	6
9	20	2	26
17	21	1	18
25	0	22	10
22	2	20	13
17	6	16	18
11	14	8	24
18	0	22	17
33	10	12	2
18	0	22	17
16	0	22	19
17	8	14	18
10	4	18	25
21	8	14	14
31	6	16	4
23	20	2	12
20	2	20	15
29	11	11	6
18	13	9	17
13	0	22	22
12	0	22	23
8	10	12	27
13	0	22	22
25	21	1	10
29	19	3	6
9	19	3	26
33	15	7	2
10	2	20	25
28	17	5	7
14	8	14	21
29	14	8	6
20	13	9	15
14	10	12	21
20	18	4	15
13	1	21	22
15	0	22	20
27	3	19	8
27	21	1	8
24	6	16	11
29	6	16	6
17	19	3	18
14	0	22	21
20	4	18	15
26	0	22	9
34	6	16	1
16	21	1	19
13	0	22	22
29	19	3	6
13	15	7	22
15	9	13	20
13	10	12	22
24	14	8	11
24	0	22	11
25	6	16	10
9	0	22	26
23	0	22	12
32	21	1	3
30	15	7	5
12	0	22	23
26	16	6	9
31	16	6	4
31	10	12	4
14	8	14	21
15	7	15	20
5	0	22	30
21	3	19	14
31	6	16	4
20	0	22	15
26	21	1	9
16	0	22	19
31	4	18	4
20	4	18	15
23	17	5	12
19	11	11	16
17	7	15	18
31	15	7	4
29	13	9	6
13	17	5	22
12	12	10	23
15	17	5	20
15	0	22	20
20	19	3	15
22	10	12	13
26	4	18	9
19	9	13	16
29	17	5	6
12	12	10	23
20	4	18	15
29	0	22	6
28	2	20	7
17	3	19	18
17	0	22	18
8	0	22	27
6	0	22	29
24	0	22	11
28	1	21	7
19	0	22	16
11	2	20	24
14	0	22	21
33	16	6	2
17	20	2	18
27	1	21	8
32	11	11	3
23	0	22	12
25	7	15	10
8	4	18	27
18	12	10	17
24	0	22	11
26	4	18	9
19	1	21	16
34	18	4	1
14	3	19	21
33	0	22	2
18	5	17	17
34	2	20	1
33	10	12	2
26	18	4	9
16	6	16	19
15	0	22	20
8	5	17	27
13	19	3	22
13	0	22	22
11	2	20	24
22	0	22	13
19	11	11	16
8	13	9	27
29	0	22	6
14	0	22	21
21	10	12	14
22	2	20	13
19	10	12	16
29	0	22	6
11	0	22	24
28	12	10	7
25	9	13	10
21	5	17	14
25	8	14	10
10	0	22	25
16	0	22	19
23	15	7	12
34	12	10	1
15	21	1	20
31	8	14	4
24	15	7	11
34	21	1	1
31	21	1	4
19	0	22	16
15	7	15	20
21	5	17	14
15	0	22	20
27	0	22	8
28	0	22	7
31	4	18	4
28	0	22	7
30	1	21	5
8	12	10	27
23	0	22	12
34	15	7	1
17	15	7	18
26	5	17	9
25	19	3	10
21	0	22	14
19	14	8	16
7	0	22	28
10	18	4	25
16	7	15	19
24	4	18	11
14	21	1	21
30	3	19	5
18	14	8	17
28	6	16	7
32	10	12	3
21	6	16	14
18	8	14	17
28	7	15	7
33	12	10	2
32	13	9	3
32	21	1	3
21	14	8	14
13	15	7	22
21	10	12	14
26	15	7	9
9	8	14	26
17	7	15	18
25	4	18	10
33	1	21	2
21	0	22	14
9	16	6	26
27	6	16	8
29	11	11	6
21	13	9	14
16	3	19	19
10	10	12	25
27	17	5	8
14	15	7	21
9	13	9	26
31	4	18	4
11	1	21	24
28	1	21	7
34	7	15	1
8	6	16	27
31	6	16	4
25	7	15	10
6	0	22	29
22	0	22	13
20	10	12	15
25	17	5	10
20	4	18	15
16	20	2	19
12	0	22	23
