@modestmouseband ready cockroach 
live #periscope: modest mouse https://t.co/d9ohvoi2dd 
live #periscope: modest mouse live brooklyn https://t.co/xmnqxmdtvf 
@thereallisaann: check 1x month @newyorkcomedy @paidorpain sponsored @fleshlight #comedy #nyc http://t.co/mcl006uaqc 
@newyorkcomedy: 8pm @desbishop @joemachi @marinayfranklin @noredavis @ciphasounds @jaynog @akaashsingh @nuggetwoman @philfromchico ht… 
@thereallisaann: check 1x month @newyorkcomedy @paidorpain sponsored @fleshlight #comedy #nyc http://t.co/f9ioe9kfbo 
write awesome @jeffreygurian @paidorpain @newyorkcomedy @thereallisaann sponsored @fleshlight http://t.co/ldoldjmw2y 
tomm @grill_onthehill free stand-up comedy show 8pm $4 beers $3 tacos @aiapalucci @jordonferber @iammikefeeney @russiancomic #harlem 
"rt @vitoandvitoshow: great time meeting @thereallisaann #paidorpain @newyorkcomedy 
#sarahpalin #freespeech http://t.co/f01gbuiviz" 
@thereallisaann: people soon silly..... but.. last night @newyorkcomedy fun! will 1x month now! #nyc #comedy 
@paidorpain: meet-n-greet time @thereallisaann! thx coming sold-out #paidorpain w/ @jaynog @newyorkcomedy! http://t… 
@thereallisaann: tonight @newyorkcomedy @paidorpain much fun! thank @fleshlight sponsoring &amp; thank everyone came … 
awesome @paidorpain last night! just want thank awesome co-host @thereallisaann @newyorkcomedy @fleshlight next show aug 21 
awesome show!!! @paidorpain @thereallisaann @newyorkcomedy http://t.co/jbwngywrhw 
@paidorpain: #dominatrix building! safe-word #milf! #paidorpain #lisaann @newyorkcomedy @jaynog @thereallisaann http://… 
@paidorpain: #girlongirlaction...with pain! #paidorpain w/ @thereallisaann @jaynog @newyorkcomedy #dominatrix https:… 
@newyorkcomedy: risk buying tix door.. tix left! get online! 11:30p @paidorpain @thereallisaann @kurtmetzger http… 
tonight!!!!!! @newyorkcomedy @thereallisaann @fleshlight @lynnbixenspan @alexcarabano #sexed #comedy #nyc http://t.co/75i840pbk0 
@thealiajanine: #paidorpain tonight @newyorkcomedy wonderful @thereallisaann @jaynog 11pm! sh… 
@newyorkcomedy: 20 tickets left!! @thereallisaann @kurtmetzger @fleshlight @jaynog https://t.co/1ogzf3lacd 
get tickets!! left!! miss out!! https://t.co/l66hsfl8j1 
"live #periscope: paid pain tonight lisa ann, get tickets sell check sex… https://t.co/uqtdqefwsh" 
@murphguide: 2nite: @paidorpain w/@thereallisaann @jaynog @kurtmetzger @philanthropygal @newyorkcomedy http://t.co/oj4ygwz5xj http://… 
.@murphguide tonight 1130pm @paidorpain w/ @thereallisaann free dvd meet greet @newyorkcomedy @fleshlight http://t.co/u7olnr5dqg 
.@theskint tonight 1130pm @paidorpain w/ @thereallisaann free dvd meet greet @newyorkcomedy @fleshlight http://t.co/u7olnr5dqg 
.@comedynewyork tonight 1130pm @paidorpain w/ @thereallisaann free dvd meet greet @newyorkcomedy @fleshlight http://t.co/u7olnr5dqg 
.@officialcomedy tonight 1130pm @paidorpain w/ @thereallisaann free dvd meet greet @newyorkcomedy @fleshlight http://t.co/u7olnr5dqg 
.@timeoutnycomedy tonight 1130pm @paidorpain w/ @thereallisaann free dvd meet greet @newyorkcomedy @fleshlight http://t.co/u7olnr5dqg 
tomorrow night guys!!! miss one!!! tickets still left!!! https://t.co/zae3q3w3vs 
"live #periscope: paid pain!! tomorrow!! co-host lisa ann. dominatrix, sex tour giveaways stand-up… https://t.co/i00orleyns" 
