love #filbarsantman @filbarsonline http://t.co/ot02jfp1pd 
"@toblerone_ph small celebration w/ family, friends &amp; course favorite toblerone 😊 #tobleronebirthdays http://t.co/ronevyuqva" 
@toblerone_ph: want celebrate #tobleronebirthdays? tag &amp; repost pic w/ answer 1 50 winners! htt… 
@toblerone_ph small celebration family friends course favorite toblerone! 😊 #tobleronebirthdays 
@ginoboi broken hearts go? #goodthingslenovo #lenovobacktoschool 
@lenovophils 5 hours #goodthingslenovo #lenovobacktoschool 
@ginoboi mukhang pwede gamiting chopping board yang flex 2 ah! #lenovobacktoschool #goodthingslenovo 
@ginoboi cool specs lenovo flex 2? #lenovobacktoschoo #goodthingsleneovo 
@acerphils stand confidence say kaya niyo yun #pullitoff 
thank much @cloudfone @xianlimm new phone. 😊👍 http://t.co/wdalhcz4ab 
go hapee fresh fighters!!! #hapeebasketball @hapeefighters 
go go go #forthewin #hapeefreshfighters #hapeebasketball #hapee guys it! 👍👊✋ @hapeefighters 
@cloudfone dmed 
@xianlimm thank you!!! 😊 
"@xianlimm ❤️ long life battery, features, &amp; especially endorser! #xianlovescloudfone #cloudfonethankyousale http://t.co/p8hzj30nvn" 
giveaway: it’s hair affair watsons http://t.co/3pazpet3k8 via @chuvaness 
"rt @sunsilkph: popsters! ang bagong #sunsilkhabamazing tvc ni @justsarahg, ready na! https://t.co/2onjvrg2m9!" 
"rt @sunsilkph: watch new tvc find @justsarahg got strong, #sunsilkhabamazing hair! :) http://t.co/ompcpihoak" 
"watch &amp; share #sunsilkselfiemoment video chance win kit, hairkada! http://t.co/4fmm8imnbt @sunsilkph" 
@sunsilkph selfie selfie moment life adventure #sunsilkselfiemoment 
@xianlimm ❤️ happy birthday mom ❤️ 
"@xianlimm ❤️ long life battery, features, &amp; especially endorser #xianlovescloudfone #cloudfonethankyousale http://t.co/p8hzj30nvn" 
"@xianlimm love long life battery, features &amp; specifications 😊 #xianlovescloudfone #cloudfonethankyousale http://t.co/p8hzj30nvn" 
nakakamiss ang move @tv5manila sana may season 2 @jascurtissmith 
@axnph #teamadam way! #axnthevoice 
great game. congrats teams. 👍👏 #pbafinals #pbaontv5 
congratulations talk text! 👏🏆👏 #pbaontv5 #pbafinals 
grabe double overtime! #pbaontv5 
@kingderekramsay congrats! happy ka kapatid 👍 
congrats bagong show niyo na baker king @akihiroblanco26 @markneumann05 👏👏👏 
