Thinking of my friends @allrachel and @TimGardner2OT http://t.co/gvPzlaSaHo
RT @lovemyboots111: I'm having trouble telling if it's killing me or making me stronger
@brandoelk Hi Brando!
RT @OnlyFastEddie: The lines between right and wrong are blurred by pleasure and pain.
Getting off work soon.... To drink wine or not to drink wine?
"RT @AlongCameAnja: I have a theory about men who hit women:

You're just upset that her dick is bigger than yours."
RT @kerrikgill: Seriously Amazing! #nofilter #itreallylookslikethis #westseattlesunset @westseattleblog http://t.co/WccyWhKFiB
RT @ErinMayovsky: Pure beauty! Truly amazed every night! ❤️#SeattleSunsets #Q13FOX http://t.co/zdTl5l5qCe
RT @antmay: #AntMayPhoto #Photography #Seattle #Washington #PacificNW #KeepExploring #Sunset http://t.co/IZQxjMpLuE
RT @CenturyLink_Fld: Can we get a time out to enjoy this view real quick?#MUtour #ICC2015 http://t.co/XWVcDicZZC
@HooliganHawk @12th_Man_Terry I keep thinking its sooner too!
RT @BrownMan_3: @bitterhawk #NoDoubt #GoHawks
@HooliganHawk Nice!! I'm going Saturday and Sunday😁
@HooliganHawk @bing Are you just going Friday?
"@jamesash55 bummer friend, feel better soon 😊"
"RT @I_Am_the_12: Everyone should be excited by the approach of football season -- everyone, that is, except for those who have to play the …"
Is it Friday yet?
"RT @lovemyboots111: Insecurities or instincts?

A survival guide"
"RT @jazzorion: Know the difference between words only meant to please, words meant to control, and words coming from a place of wisdom."
@jazzorion I try really hard listen even when it's not what I want to hear!
#GOHAWKS #GOHAWKS  #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS #GOHAWKS
"RT @STitusR: I'm nothing without love. 

Ok, maybe some sex.

Just some face time?

Meh, laughs, love. 

Who am I kidding. Sex. Lots of sex."
RT @ImJESSPlayin: Is a sexcation a thing? I need that.
RT @gopikashine: Why does cereal taste so much better at night?
@aileen206 No 1st and 2nd though!
I'm going to be in town for training camp opening weekend and preseason game 1!! My heart is so much more excited than my wallet! #GOHAWKS
@aileen206 wow! For sure!
RT @ICC_85: Exactly 1 month away from the Seahawks preseason opener!
Aww my friend insomnia came to visit tonight..... Isn't he nice?
RT @DavidRoads: Let your dreams stay big and your worries stay small.
