play ball! enjoying rousing game @fremontbrewing summer ale. http://t.co/3bpkavb6wa 
@uwdawgs13 
"@arielledora switched days, monday. missed a.m.!" 
ironic @seacitylight mails piece paper advertising something good planet. http://t.co/57pdwwovnz 
fly first @boeingairplanes #dreamliner! http://t.co/lqg0o5lcf5 
begins @fremontbrewing http://t.co/ct3e1qmsbi 
@uwdawgs13: @flyingbikecoop lease signing party! wait member driven brewery open! http://t.co/0mnfqwziwf 
"@seattlebeernews @holymtnbrewing time, drinking thing! super tasty beers." 
"@seattledot bit trouble today. cars using parking, peds using sidewalk. better signage needed?" 
"post- #imkona shower beer thing made shower tolerable. #possible2nddegreeburns, #everythingschaffed." 
@cknutson82 asked better sendoff. long pnw open water swim season! 
@seabikeblog: sign advertising 'bike thief school' directs interested students vasectomy clinic http://t.co/1aazza1egx #seabikes http… 
@kwikfeet: odds getting good clementine bag: 1 10. #bulkfruitbuyingproblems #littlenotsocuties #thattastedlikerobitu… 
@dennisboundsk5 @king5seattle will farrell meeting will farrell! 
@jcohenwrites hit 5 way intersection next starbucks greenlake. also hate riding sb roosevelt uw clinic. 
"@cknutson82 oh, like suggestion anatomically incorrect mustache photo. may one!" 
"@cknutson82 simulated drowning, hour fifteen minutes. ""looks like picked wrong day quit wearing wetsuit!""" 
@pccm_doc thanks letting draft you! 
@huskygameday @uw_football uw area notorious bike thieves. bikes stored game safe will be? 
"loving 4corners brewfest! great beer, great cause. tix courtesy @seattlepipeline" 
@beerblog come 4 corners brewfest! great great brews! http://t.co/uscfj5gigp 
"@aaronq13fox check local beast john bergen, racing across america bicycle raise money @hutchinsonctr https://t.co/zct2kaj68t" 
@verizonwireless #seahawks #whosgonnawin #seahawks #whosgonnawin #seahawks #whosgonnawin #seahawks #whosgonnawin #seahawks 
@seattlehawks_12: #whosgonnawin #seahawks @verizonwireless seahawks baby 
@vickielu: go #sb48 #seahawks #whosgonnawin #sherminator #seahawks #seahawks #seahawks #seahawks #seahawks #seahawks #seahawks … 
@xprider69: team lot heart! go #seahawks! #whosgonnawin http://t.co/nakfwmkfyk @verizonwireless 
"rt @lucywu: shut down, light up! blue green! #12thman #louder #lob #seahawks #seahawksnation #whosgonnawin" 
@janetlynny67: #whosgonnawin :go #seahawks! #whosgonnawin http://t.co/hdbfjxbwr5 @verizonwireless wins superbowls!? defense seahawk… 
@rcaspersen: son's favorite game food. go #seahawks! #whosgonnawin http://t.co/11ldgtb9l0 @verizonwireless http://t.co/fupoeab1b6 
"rt @curlrobin: ""@taymalay: ""@antmay: believe @seahawks."" #whosgonnawin #seahawks""" 
